Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Region,Municipio,Localidad
PRECIPITACION,MAYO 27. 2014,HIDROMETEOROLOGICOS,44.193,1,1,20.119,115,1,16.76,-93.07,INUNDACION DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,MAYO 26. 2014,HIDROMETEOROLOGICOS,44.203,1,1,20.119,115,1,16.74,-93.11,LLUVIAS MUY FUERTES EN TUXTLA GUTIERREZ.,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
ONDA TROPICAL,MAYO 28. 2014,HIDROMETEOROLOGICOS,44.277,3,1,251,115,1,16.75,-93.11,TORMENTA TROPICAL,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,MAYO 29. 2014,HIDROMETEOROLOGICOS,44.288,1,1,20.119,115,1,16.73,-93.17,LECTURA DEL PROCEDA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,MAYO 29. 2014,ACCIONES DE PREVENCION,44.327,52,8,7.842,104,10,14.91,-92.33,VERIFICACION DE ENCHARCAMIENTO,SOCONUSCO,TAPACHULA,VIVA MEXICO
PRECIPITACION,MAYO 29. 2014,HIDROMETEOROLOGICOS,44.333,1,1,20.032,28,7,16.99,-92.89,ENCHARCAMIENTO DE VIVIENDAS,DE LOS BOSQUES,BOCHIL,CABECERA MUNICIPAL
BAJA PRESION,JUNIO 1. 2014,HIDROMETEOROLOGICOS,44.438,2,1,3.961,67,15,16.36,-91.85,VERIFICACION DE VIVIENDAS AFECTADAS.,MESETA COMITECA TOJOLABAL,LAS MARGARITAS,NUEVO HUIXTAN
VERIFICACIONES,JUNIO 1. 2014,ACCIONES DE PREVENCION,44.443,52,8,9.272,104,10,14.64,-92.3,VERIFICACION DE RIOS.,SOCONUSCO,TAPACHULA,LA CIGUENA
BAJA PRESION,JUNIO 1. 2014,HIDROMETEOROLOGICOS,44.445,2,1,20.106,102,10,14.68,-92.15,SEGUNDA SESION EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE PROTECCION CIVIL. DERIVADO DE LA TEMPORADA DE LLUVIAS Y CICLONES TROPICALES 2014,SOCONUSCO,SUCHIATE,CABECERA MUNICIPAL
TORMENTA TROPICAL,MAYO 25. 2014,HIDROMETEOROLOGICOS,44.464,5,1,20.073,69,10,14.86,-92.45,PRIMERA SESION EXTRAORDINARIA DEL CONSEJO MUNICIPAL DE PROTECCION CIVIL. VILLA MAZATAN.,SOCONUSCO,MAZATAN,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 1. 2014,HIDROMETEOROLOGICOS,44.466,4,1,20.073,69,10,14.86,-92.45,SEGUNDA SESION DEL CONSEJO MUNICIPAL DE PC DE VILLA MAZATAN POR DEPRESION TROPICAL,SOCONUSCO,MAZATAN,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 2. 2014,HIDROMETEOROLOGICOS,44.481,4,1,20.027,23,6,15.87,-92.72,LLUVIAS DEPRESION TROPICAL 2-E TORMENTA TROPICAL BORIS,FRAILESCA,ANGEL ALBINO CORZO,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 2. 2014,ACCIONES DE PREVENCION,44.485,52,8,20.119,115,1,16.77,-93.11,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 2. 2014,ACCIONES DE PREVENCION,44.491,52,8,20.119,115,1,16.77,-93.13,ENCHARCAMIENTO EN DOMICILIOS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 2. 2014,ACCIONES DE PREVENCION,44.492,52,8,20.119,115,1,16.75,-93.1,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 2. 2014,ACCIONES DE PREVENCION,44.503,52,8,20.119,115,1,16.77,-93.15,ENCHARCAMIENTO DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 2. 2014,ACCIONES DE PREVENCION,44.517,52,8,20.105,101,1,16.62,-93.1,TORMENTA TROPICAL BORIS,METROPOLITANA,SUCHIAPA,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 2. 2014,HIDROMETEOROLOGICOS,44.518,4,1,227,93,5,16.74,-92.64,REPORTE POR LLUVIAS ZONA Y LA APERTURA DEL REFUGIO TEMPORAL,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
ENCHARCAMIENTO,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.534,69,1,227,93,5,16.75,-92.65,ENCHARCAMIENTOS EN LA COLONIA EMILIANO ZAPATA,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
VERIFICACIONES,JUNIO 3. 2014,ACCIONES DE PREVENCION,44.545,52,8,11.958,104,10,14.74,-92.41,VERIFICACION A CONUNIDADES.,SOCONUSCO,TAPACHULA,EL ENCANTO
TORMENTA TROPICAL,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.549,5,1,250,116,10,14.94,-92.17,TORMENTA TROPICAL BORIS,SOCONUSCO,TUXTLA CHICO,TUXTLA CHICO
DEPRESION TROPICAL,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.558,4,1,20.106,102,10,14.68,-92.15,MONITOREO DE COMUNIDADES AFECTADAS . TRAS EL PASO DE LA DEPRESION TROPICAL 2-E,SOCONUSCO,SUCHIATE,CABECERA MUNICIPAL
TORMENTA TROPICAL,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.568,5,1,12.123,84,9,15.68,-93.21,TORMENTA TROPICAL BORIS,ISTMO-COSTA,PIJIJIAPAN,LA CONQUISTA
TORMENTA TROPICAL,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.57,5,1,20.073,69,10,14.86,-92.45,TERCERA SESION EXTRAORDINARIA DEL CONSEJO DE PROTECCION CIVIL DE VILLA MAZATAN POR PASO DE LA TORMENTA TROPICAL BORIS.,SOCONUSCO,MAZATAN,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 3. 2014,HIDROMETEOROLOGICOS,44.582,4,1,14.367,120,4,16.35,-92.56,AFECTACIONES POR FUERTES LLUVIAS,DE LOS LLANOS,VENUSTIANO CARRANZA,VEGA DEL CHALCHI
PRECIPITACION,JUNIO 9. 2014,HIDROMETEOROLOGICOS,44.583,1,1,4.506,45,11,15.75,-92.4,COMUNIDAD PLAN DE AYALA,SIERRA MARISCAL,CHICOMUSELO,PLAN DE AYALA
VERIFICACIONES,JUNIO 3. 2014,ACCIONES DE PREVENCION,44.604,52,8,20.119,115,1,16.76,-93.14,INUNDACION DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
BAJA PRESION,JUNIO 4. 2014,HIDROMETEOROLOGICOS,44.607,2,1,20.073,69,10,14.86,-92.45,CUARTA SESION DEL CONSEJO MUNICIPAL DE PROTECCION CIVIL DE VILLA MAZATAN,SOCONUSCO,MAZATAN,CABECERA MUNICIPAL
TORMENTA TROPICAL,JUNIO 4. 2014,HIDROMETEOROLOGICOS,44.647,5,1,6.526,111,9,16.01,-93.85,REPORTE DE ACCIONES DE EVALUACION DE DANOS A VIVIENDAS SAN LUQUENO (LA COSTA). TONALA,ISTMO-COSTA,TONALA,SAN LUQUENO
DESLIZAMIENTO,JUNIO 5. 2014,GEOLOGICOS,44.66,22,3,4.177,19,12,16.73,-92.04,DESLIZAMIENTO DE TIERRA EN EL EJIDO VENUSTIANO CARRANZA,SELVA LACANDONA,ALTAMIRANO,VENUSTIANO CARRANZA
DESLIZAMIENTO,JUNIO 5. 2014,GEOLOGICOS,44.663,22,3,10.228,19,12,16.73,-92.03,DESLIZAMIENTO DE TIERRA EN EL EJIDO SAN ANTONIO MONTERREY,SELVA LACANDONA,ALTAMIRANO,SAN ANTONIO MONTERREY
AFECTACIONES POR LLUVIAS,JUNIO 5. 2014,HIDROMETEOROLOGICOS,44.699,80,1,3.096,30,10,15.08,-92.2,RECORRIDOS Y VERIFICACIONES POR DERRUMBES DEBIDO ALAS LLUVIAS,SOCONUSCO,CACAHOATAN,UNION ROJA
PRECIPITACION,JUNIO 5. 2014,HIDROMETEOROLOGICOS,44.7,1,1,20.038,34,15,16.25,-92.12,ENCHARCAMIENTOS EN DIFERENTES PTOS. DE LA CABECERA MUNICIPAL,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 6. 2014,HIDROMETEOROLOGICOS,44.721,1,1,20.119,115,1,16.74,-93.17,LLUVIAS EN TGZ.,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 6. 2014,ACCIONES DE PREVENCION,44.722,52,8,20.119,115,1,16.79,-93.1,INUNDACION DE DOMICILIO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
